客戶編號,客戶簡稱,用電場所名稱,"	用電場所地址",電號,"	執照編號"
A0011-3,聯茂新埔,聯茂電子股份有限公司新埔廠,新竹縣新埔鎮大魯閣路17號,06-70-6030-11-3,竹縣電技中字第AF500818-2號
A0025,皇麟實業,皇麟實業有限公司,桃園市大園區長發路312號、316號1~3樓,04-67-1939-11-3,桃市電技中字第DE502101號
A0061,振業企業,振業企業股份有限公司,桃園市蘆竹區內溪路53之1號,04-23-2365-17-5,桃市電技中字第DE501525號
A0072,柏綸股份,柏綸股份有限公司,桃園市蘆竹區南山路二段12巷27號1~2樓,04-23-3117-13-2,桃市電技中字第DE501320號
A0096,立明造紙,立明造紙廠股份有限公司,桃園市大園區民生路109號,04-67-0206-15-9,桃市電技中字第DE500240號
A0113-11,同欣龍科,同欣電子工業股份有限公司龍科分公司,桃園市龍潭區龍園五路21號B1、1~6樓及21-1號B1、1~2樓,04-94-3278-15-5,竹科電技中字第BA500633-2號
A0123-31,三軍衛材,三軍衛材供應處,桃園市龍潭區中興路168-1號,,
A0150,德淵觀音,德淵企業股份有限公司觀音廠,桃園市觀音區經建二路46號1~2樓,04-63-4521-15-5,桃市電技中字第DE502418號
A0160-2,永光化三,臺灣永光化學工業股份有限公司第三廠,桃園市觀音區成功路二段935號1樓及937號1~3樓,04-63-7048-19-2,桃市電技中字第DE500697-1號
A0184-1,佳乳食品,佳乳食品股份有限公司(湖口廠),新竹縣湖口鄉光復路7號,06-46-7037-11-1,竹縣電技中字第AF500653-1號
A0185,晉倫一廠,晉倫科技股份有限公司,桃園市大園區長發路248號1~4樓、250號1~2樓,04-67-1943-15-3,桃市電技中字第DE501965-1號
A0189,世紀鋼鐵,世紀鋼鐵結構股份有限公司一廠,桃園市觀音區中山路一段1171巷40號1~4樓,04-63-1113-13-3,桃市電技中字第DE502619號
A0189-1,世紀鋼鐵,世紀鋼鐵結構股份有限公司二廠,桃園市觀音區中山路一段1119號1~3樓及B1,04-63-1153-13-2,桃市電技中字第DE502620號
A0189-3,世紀離岸,世紀離岸風電設備股份有限公司,新北市八里區中山路三段388之5號、388之6號、388之15號,05-97-0240-96-6,新北電技中字第DD501241-1號
A0192,藍德工業,藍德工業股份有限公司,桃園市中壢區合圳北路二段395巷26號,04-44-5631-15-7,桃市電技中字第DE500010號
A0198,億泰電線,億泰電線電纜股份有限公司,桃園市中壢區中正路二段363巷32號,04-61-5050-15-7,桃市電技中字第DE501061-1號
